Everyday Checking - Account XXXX4821
Statement period,06/01/2026 - 08/31/2026
SYNTHETIC SAMPLE DATA - not a real account

Transaction Date,Description,Amount,Balance
08/20/2026,SWEETGREEN SOHO,-18.15,7543.97
08/20/2026,LYFT *RIDE SUN 8PM,-19.06,7524.91
08/20/2026,STRIPE PAYOUT ACH CREDIT,410.00,7934.91
08/21/2026,NORDVPN* SUBSCRIPTION,-12.99,7921.92
08/21/2026,BLUE BOTTLE COFFEE,-7.80,7914.12
08/22/2026,CHEWY.COM AUTOSHIP,-41.90,7872.22
08/22/2026,WHOLE FOODS MKT #10281,-62.93,7809.29
08/22/2026,UBER EATS PENDING,-33.29,7776.00
08/23/2026,TICKETMASTER *CONCERT,-118.00,7658.00
08/24/2026,SQ *SAKURA GARDEN,-15.57,7642.43
08/24/2026,SHELL OIL 57442,-57.34,7585.09
08/25/2026,SQ *OAK & ASH COFFEE,-7.23,7577.86
08/25/2026,SQ *SAKURA GARDEN,-13.14,7564.72
08/25/2026,AMZN MKTP US*7Y1RT,-54.09,7510.63
08/26/2026,POS 7025 SAFEWAY #6218,-62.04,7448.59
08/26/2026,CHIPOTLE 2291,-11.86,7436.73
08/26/2026,GUSTO PAY 881092,250.00,7686.73
08/28/2026,SQ *OAK & ASH COFFEE,-6.44,7680.29
08/28/2026,ETSY.COM*HANDMADEBYLI,-36.50,7643.79
08/29/2026,ACME ANALYTICS INC PAYROLL DIRECT DEP,3420.55,11064.34
08/29/2026,WHOLE FOODS MKT #10281,-69.20,10995.14
08/29/2026,DOORDASH*THAI VILLA,-23.16,10971.98
08/30/2026,AMZN MKTP US*7Y1RT,-87.16,10884.82
